证券代码,证券简称,转债简称,正股代码,赎回触发计算最大时间区间,赎回触发计算时间区间,赎回触发比例,,条件赎回起始日期,条件赎回截止日期,今天日期与赎回截止日较小者,赎回条款
110015.SH,中国石化,石化转债(退市),600028.SH,30,15,130,7.13,2011/8/24,2017/2/23,2017/2/23,"（1）到期赎回条款在本次发行可转债期满后五个交易日内，发行人将以本次发行可转债票面面值的107%（含当期利息）赎回全部未转股的可转债。在本期可转债到期前五个交易日内，发行人将在中国证监会指定报刊和互联网网站发布到期赎回公告，并在到期赎回公告规定的期限内，按前述上浮比率赎回全部未转股的可转债。（2）有条件赎回条款在本次发行的可转债转股期内，如果发行人A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%），发行人有权按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债。任一计息年度发行人在赎回条件首次满足后可以进行赎回，首次不实施赎回的，该计息年度不应再行使赎回权。此外，当本次发行的可转债未转股的票面总金额不足3,000万元时，发行人董事会有权决定按面值加当期应计利息的价格赎回全部未转股的可转债。"
110016.SH,川投能源,川投转债(退市),600674.SH,30,20,130,11.98,2011/9/22,2017/3/21,2017/3/21,"（1）到期赎回在本次可转债期满后五个交易日内，发行人将以本次可转债票面面值的108%（不含当期利息）赎回全部未转股的可转债。（2）提前赎回转股期内，当下述两种情形的任意一种出现时，发行人有权决定按照债券面值的103%（含当期利息）的价格赎回全部或部分未转股的可转债：1）在转股期内，如果发行人股票在任何连续三十个交易日中至少二十个交易日的收盘价格不低于当期转股价格的130%（含130%）；2）当市场存续的本次发行的可转债总金额不足3,000万元时。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价计算，调整后的交易日按调整后的转股价格和收盘价计算。"
110017.SH,中远海能,中海转债(退市),600026.SH,30,15,130,6.3,2012/2/2,2017/8/1,2017/8/1,"（1）到期赎回条款:本次发行的A股可转债到期后五个交易日内，公司将以本次可转债票面面值的105%（含最后一期利息）赎回未转股的A股可转债。（2）提前赎回条款:转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的A股可转债：A、在转股期内，如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；B、当本次发行的A股可转债未转股余额不足3,000万元时。"
110018.SH,国电电力,国电转债(退市),600795.SH,30,15,130,2.68,2012/2/20,2017/8/19,2017/8/19,"（1）到期赎回本次可转债到期后五个交易日内，公司将以110元/张（含最后一期利息）的价格赎回未转股的可转债。（2）提前赎回转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值的103%（含当期利息）的价格赎回全部或部分未转股的可转债：A.在转股期内，如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；B.当本次可转债未转股余额不足3,000万元时。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，调整后的交易日按调整后的转股价格和收盘价格计算。"
110019.SH,恒丰纸业,恒丰转债(退市),600356.SH,30,20,130,6.51,2012/9/24,2017/3/23,2017/3/23,（1）到期赎回条款在本次发行的可转债期满后5个交易日内，公司将以本次发行的可转债票面面值的105%(含最后一期利息)向投资者赎回全部未转股的可转债。（2）有条件赎回条款在本次发行的可转债转股期内，如果公司股票任意连续30个交易日中至少有20个交易日的收盘价不低于当期转股价格的130%(含130%)，公司有权按照债券面值的105%(含当期利息)的赎回价格赎回全部或部分未转股的可转债。任一计息年度公司在赎回条件首次满足后可以进行赎回，首次不实施赎回的，该计息年度不应再行使赎回权。
110020.SH,南山铝业,南山转债(退市),600219.SH,30,20,130,6.25,2013/4/17,2018/10/16,2018/10/16,"（1）到期赎回条款本次发行的可转债到期后五个交易日内，公司将以不超过108元（含最后一期利息）的价格赎回未转股的A股可转债，具体赎回价格由股东大会授权董事会根据发行时市场情况与保荐人及主承销商协商确定。（2）提前赎回条款转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值的104%（含当期利息）赎回全部或部分未转股的可转债：A.在转股期内，如果公司股票在任何连续三十个交易日中至少二十个交易日的收盘价格不低于当期转股价格的130%（含130%）；B.当本次发行的A股可转债未转股余额不足3,000万元时。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价计算，调整后的交易日按调整后的转股价格和收盘价格计算。"
110021.SH,上海电力,上电转债(退市),600021.SH,30,30,130,10.79,2007/6/1,2011/12/1,2011/12/1,在可转债的转股期内，如果本公司股价连续30个交易日高于当期转股价格的130%，公司有权赎回未转股的可转债。若在该期间内发生过调整转股价格的情形，则在调整日前按调整前的转股价格计算，在调整日后按调整后的转股价格计算。当赎回条件首次满足时，公司有权按可转债面值的101%加上当年利息的价格赎回全部或部分在“赎回日”尚未转股的可转债。若首次不实施赎回，该计息年度内将不再行使赎回权。
110022.SH,同仁堂,同仁转债(退市),600085.SH,30,20,130,23.34,2013/6/5,2017/12/4,2017/12/4,"（1）到期赎回条款在本次发行的可转债期满后5个交易日内，将以本次发行的可转债的票面面值上浮一定比率（含最后一期利息）的价格向投资者赎回全部未转股的可转债。具体上浮比率提请股东大会授权董事会根据市场情况与保荐人（主承销商）协商确定。（2）有条件赎回条款转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值的103%（含当期利息）的价格赎回全部或部分未转股的可转债：A.在转股期内，如果公司股票在任何连续30个交易日中至少20个交易日的收盘价格不低于当期转股价格的130%（含130%）；B.当本次发行的可转债未转股余额不足3,000万元时。若在前述30个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价计算，调整后的交易日按调整后的转股价格和收盘价计算。"
110023.SH,民生银行,民生转债(退市),600016.SH,30,15,130,10.18,2013/9/16,2019/3/15,2019/3/15,"1、到期兑付条款。在本次发行的可转债期满后五个交易日内，本行将以本次发行的可转债的票面面值的106%（含最后一期年度利息）的价格向投资者兑付全部未转股的可转债。2、有条件赎回条款。在本次发行的可转债转股期内，如果本行A股股票连续三十个交易日中至少有十五个交易日的收盘价格不低于当期转股价格的130%（含130%），本行有权按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债。任一计息年度本行在赎回条件首次满足后可以进行赎回，首次不实施赎回的，该计息年度不应再行使赎回权。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转债持有人持有的可转债票面总金额；i：指可转债当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在上述交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，在调整后的交易日按调整后的转股价格和收盘价格计算。此外，当本次发行的可转债未转股余额不足3,000万元时，本行董事会有权决定按面值加当期应计利息的价格赎回全部未转股的可转债。"
110024.SH,隧道股份,隧道转债(退市),600820.SH,30,20,130,9.34,2014/3/14,2019/9/13,2019/9/13,"在本次发行的可转债期满后五个交易日内，公司将按本次发行的可转债票面面值的108%（含最后一期利息）赎回全部未转股的可转债。在本次发行的可转债转股期内，如果公司股票任意连续30个交易日中至少有20个交易日的收盘价不低于当期转股价格的130%（含130%），公司有权按照债券面值的103%（含当期计息年度利息）的价格赎回全部或部分未转股的可转债。任一计息年度公司在赎回条件首次满足后可以进行赎回，首次不实施赎回的，该计息年度不应再行使赎回权。若在上述交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，在调整后的交易日按调整后的转股价格和收盘价格计算。此外，当本次发行的可转债未转股余额少于3,000万元（含3,000万元）时，公司董事会有权按可转债面值的103%（含当期计息年度利息）的价格赎回全部未转股的可转债。"
110025.SH,国金证券,国金转债(退市),600109.SH,30,15,130,15.19,2014/11/21,2020/5/13,2020/5/13,"（1）到期赎回条款在本次发行的可转债期满后5个交易日内，公司将以本次发行的可转债的票面面值的105%（含最后一年利息）向可转债持有人赎回全部未转股的可转换公司债券。（2）有条件赎回条款在本次发行的可转债转股期内，当下述两种情形的任意一种出现时，公司有权决定按照债券面值加当期应计利息的价格赎回全部或部分未转股的可转债:A．在本次发行的可转债转股期内，如果公司A股股票连续30个交易日中至少有15个交易日的收盘价格不低于当期转股价格的130%（含130%）；B．当本次发行的可转债未转股余额不足3,000万元时。当期应计利息的计算公式为：IA＝B×i×t/365IA：指当期应计利息；B：指本次发行的可转债持有人持有的可转债票面总金额；i：指可转债当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述30个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，调整后的交易日按调整后的转股价格和收盘价格计算。"
110026.SH,中远海能,中海转债(退市),600026.SH,20,20,130,37.84,2008/1/2,2012/7/1,2012/7/1,在本期可转换债券期满后5个交易日内，本公司将以本可转换债券的票面面值的105%(含最后一期利息)向投资者赎回全部未转股的可转换债。在本期可转债转股期内，如果本公司A股股票连续20个交易日的收盘价格不低于当期转股价格的130%(含130%)，本公司有权按照债券面值103%(含当期计息年度利息)的赎回价格赎回全部或部分未转股的可转债。任一计息年度本公司在赎回条件首次满足后可以进行赎回，首次不实施赎回的，该计息年度不应再行使赎回权。若在上述交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，在调整后的交易日按调整后的转股价格和收盘价格计算。
110027.SH,东方电气,东方转债(退市),600875.SH,30,15,130,21.49,2015/1/12,2020/7/10,2020/7/10,"（1）到期赎回条款:在本次发行的可转债期满后五个交易日内，本公司将以本次发行的可转债的票面面值的105%（含最后一期年度利息）的价格向投资者赎回全部未转股的可转债。（2）有条件赎回条款:在本可转债转股期内，如果公司股票任意连续30个交易日中至少有15个交易日的收盘价不低于当期转股价格的130%（含130%）或未转股余额不足3,000万元，公司有权按照债券面值加当期应计利息赎回部分或者全部转债。若在上述交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，在调整后的交易日按调整后的转股价格和收盘价格计算。当期应计利息的计算公式为：IA=B×i×t/365IA：指当期应计利息；B：指本次发行的可转债持有人持有的可转债票面总金额；i：指可转债当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。"
110028.SH,冠城大通,冠城转债(退市),600067.SH,30,15,130,7.19,2015/1/19,2020/7/18,2020/7/18,"（1）到期赎回条款:在本次发行的可转债期满后五个交易日内，本公司将以本次发行的可转债的票面面值的112%（含最后一期年度利息）的价格向投资者赎回全部未转股的可转债。（2）有条件赎回条款:在转股期内，当下述情形的任意一种出现时，公司有权决定按照以面值加当期应计利息的价格赎回全部或部分未转股的可转债：A、在转股期内，如果公司股票在任何连续三十个交易日中至少十五个交易日的收盘价格不低于当期转股价格的130%（含130%）；B、当本次发行的可转债未转股余额不足3,000万元时。当期应计利息的计算公式为：IA=B×i×t/365;A：指当期应计利息；B：指本次发行的可转债持有人持有的将赎回的可转债票面总金额；i：指可转债当年票面利率；t：指计息天数，即从上一个付息日起至本计息年度赎回日止的实际日历天数（算头不算尾）。若在前述三十个交易日内发生过转股价格调整的情形，则在调整前的交易日按调整前的转股价格和收盘价格计算，调整后的交易日按调整后的转股价格和收盘价格计算。"
